category,algorithm,alpha,alpha_high,alpha_low,tx_rate,pow_h,m,n_nodes,duration,topology,latency_model,latency_base_ms,latency_jitter_ms,seed,algo_tag,total_txs,convergence_ratio,orphan_rate,avg_latency_ms,max_latency_ms,size_mean,size_stddev,mean_L_steady,peak_L,wall_time_s
D_pow_h,hybrid,0.01,1.0,0.001,2.0,0.6,2,5,25.332104206085205,full_mesh,LOGNORMAL,100.0,50.0,42,,116,0.9655172413793104,0.06028368794326241,690.8843146788107,800.0240325927734,112.8,0.4,5.648,7,25.333746433258057
D_pow_h,hybrid,0.01,1.0,0.001,2.0,0.6,2,5,25.331652402877808,full_mesh,LOGNORMAL,100.0,50.0,101,,116,0.9655172413793104,0.05132743362831858,696.5933408630028,816.2381649017334,113.0,0.0,5.952,8,25.33265733718872
D_pow_h,hybrid,0.01,1.0,0.001,2.0,1.0,2,5,25.95950222015381,full_mesh,LOGNORMAL,100.0,50.0,42,,86,0.9418604651162791,0.0878048780487805,1090.7731607556343,1201.0855674743652,82.0,0.0,6.552,8,25.960453987121582
D_pow_h,hybrid,0.01,1.0,0.001,2.0,1.0,2,5,25.95726490020752,full_mesh,LOGNORMAL,100.0,50.0,101,,86,0.9302325581395349,0.11002444987775062,1092.795154517721,1207.047462463379,81.8,0.4,8.616,10,25.95869016647339
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,3,25.741185903549194,full_mesh,LOGNORMAL,100.0,50.0,42,,100,1.0,0.04,297.37629071630613,469.38562393188477,100.0,0.0,2.8933333333333335,5,25.742377519607544
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,3,25.739699840545654,full_mesh,LOGNORMAL,100.0,50.0,101,,100,0.99,0.023411371237458196,304.5828874946246,462.5120162963867,99.66666666666667,0.4714045207910317,3.0533333333333332,5,25.740532875061035
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.729784727096558,full_mesh,LOGNORMAL,100.0,50.0,42,,174,0.9885057471264368,0.022041763341067284,293.18295201362923,399.75547790527344,172.4,0.4898979485566356,4.16,6,25.730812311172485
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.73526906967163,full_mesh,LOGNORMAL,100.0,50.0,101,,174,0.9885057471264368,0.027842227378190254,292.9620181607921,405.7016372680664,172.4,0.4898979485566356,3.968,6,25.73617148399353
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.774325132369995,full_mesh,LOGNORMAL,100.0,50.0,42,,276,0.9891304347826086,0.03244972577696526,291.5755938983026,383.925199508667,273.5,0.5,8.06,14,26.776329040527344
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.777743577957153,full_mesh,LOGNORMAL,100.0,50.0,101,,276,0.9891304347826086,0.0361225422953818,290.70653710044735,406.8012237548828,273.375,0.4841229182759271,9.315,14,26.779637813568115
